id;name;amount;currency;period;start_date;end_date;status;tag_match_mode;warning_percentage;created_at;updated_at;user_id
1;providence;16895.76;"MIT";MONTHLY;2026-07-07;2026-07-07;ACTIVE;ALL;86.36;2026-07-07T17:34:02;2026-07-06T21:59:35;1
2;folklore unsung;16157.56;"VDN";MONTHLY;2026-07-07;2026-07-06;PAUSED;ALL;9.41;2026-07-06T22:42:32;2026-07-07T10:24:57;2
3;whose next;30413.82;"DHX";YEARLY;2026-07-07;2026-07-06;PAUSED;ANY;11.27;2026-07-06T19:32:20;2026-07-07T09:55:07;1
4;woefully;11083.91;"FOY";YEARLY;2026-07-06;2026-07-07;COMPLETED;ALL;42.67;2026-07-07T00:51:16;2026-07-06T20:10:18;1
5;whoa;27589.18;"COF";CUSTOM;2026-07-07;2026-07-07;COMPLETED;ANY;97.99;2026-07-07T07:35:07;2026-07-07T06:54:25;2
6;easily;5372.14;"LQL";WEEKLY;2026-07-07;2026-07-07;COMPLETED;ALL;96.44;2026-07-07T07:51:27;2026-07-07T08:27:55;2
7;when gently gee;29074.39;"IEA";QUARTERLY;2026-07-06;2026-07-07;PAUSED;ALL;51;2026-07-07T03:25:10;2026-07-07T11:35:24;2
8;out;22462.33;"JTU";MONTHLY;2026-07-07;2026-07-06;COMPLETED;ANY;93.91;2026-07-07T05:05:10;2026-07-06T18:15:58;1
9;parody pluck;17431.92;"OPY";MONTHLY;2026-07-07;2026-07-07;PAUSED;ALL;92.49;2026-07-07T02:16:11;2026-07-07T16:45:13;1
10;glass;32138.06;"NZV";MONTHLY;2026-07-07;2026-07-07;PAUSED;ALL;5.69;2026-07-06T18:02:04;2026-07-07T06:27:13;1
