id;name;description;category_type;color;icon;active;created_at;updated_at;user_id
1;given;deform unsightly;INCOME;"#CfDE2c";nearly mystify jealously;false;2026-07-07T08:40:32;2026-07-07T14:50:36;1
2;worth;ick than brochure;INCOME;"#cba78d";but council;true;2026-07-06T18:28:21;2026-07-06T21:34:41;2
3;that rim;haircut;EXPENSE;"#e467Ad";carefully upon;false;2026-07-07T01:27:11;2026-07-07T14:56:23;2
4;heavily;ugh;EXPENSE;"#039e8A";intently officially meanwhile;false;2026-07-07T14:30:01;2026-07-07T02:42:11;1
5;palatable culture;even compete lest;INCOME;"#1CD153";as;true;2026-07-07T09:10:06;2026-07-07T09:59:43;1
6;past polite;when pish yum;BOTH;"#6784f5";impish perfumed overconfidently;false;2026-07-07T05:57:46;2026-07-07T00:44:19;1
7;excepting limited when;warlike commonly consequently;INCOME;"#9Faad1";finally;true;2026-07-07T10:48:47;2026-07-07T00:54:34;1
8;regularly boo;what which soybean;BOTH;"#59423C";bitterly;true;2026-07-06T18:41:13;2026-07-07T14:11:13;2
9;adventurously hopelessly mid;fooey failing provided;BOTH;"#EaF650";atop;false;2026-07-07T06:14:23;2026-07-07T10:43:16;2
10;aw geez;glum colonialism;INCOME;"#FBcC4A";evince rot;true;2026-07-07T13:53:51;2026-07-06T19:00:50;2
