id;credit_limit;statement_day;payment_due_day;annual_interest_rate;created_at;updated_at;account_id
1;26068.32;16;24;7828.47;2026-07-07T00:01:45;2026-07-07T09:01:33;1
2;8658.09;1;15;15929.1;2026-07-07T00:04:41;2026-07-07T08:06:59;2
3;18059.44;7;5;15460.72;2026-07-06T18:06:06;2026-07-06T18:34:14;3
4;1125.82;7;1;19550.06;2026-07-07T11:35:17;2026-07-07T10:42:21;4
5;563.04;28;16;21021.15;2026-07-07T16:59:25;2026-07-06T20:29:27;5
6;21152.13;12;27;23106.22;2026-07-07T07:42:22;2026-07-07T12:53:33;6
7;23243.4;18;15;22811.11;2026-07-07T16:32:52;2026-07-06T21:10:53;7
8;7016.43;4;9;10690.95;2026-07-07T17:03:40;2026-07-07T11:32:14;8
9;714.29;2;11;25694.11;2026-07-06T22:06:53;2026-07-07T08:53:27;9
10;24174.89;3;3;10086.12;2026-07-07T08:50:51;2026-07-06T23:21:50;10
