id;name;institution_name;account_type;currency;initial_balance;initial_balance_date;last_four_digits;description;color;icon;active;include_in_net_worth;created_at;updated_at;user_id
1;that across intervention;republican gift well;CREDIT_CARD;"WRL";887.79;2026-07-06;"3841";cool fooey order;"#6c6142";mmm;true;false;2026-07-07T04:48:48;2026-07-06T23:13:43;1
2;plan;dependency;CREDIT_CARD;"YVZ";18768.71;2026-07-07;"8191";under;"#671BB4";tectonics;true;false;2026-07-07T01:53:47;2026-07-07T16:03:41;2
3;huzzah;describe apud;CREDIT_CARD;"ARM";6804.58;2026-07-07;"7546";yet;"#60E6d7";barring hence after;true;false;2026-07-07T14:52:01;2026-07-07T16:04:08;1
4;kindly voluntarily nougat;yowza before unlike;INVESTMENT;"CUM";11910.27;2026-07-06;"2289";pish now eek;"#6E7cBF";whose by pulverize;false;false;2026-07-07T17:01:03;2026-07-06T21:32:08;2
5;embarrassment;fairly lawful;INVESTMENT;"WLR";21137.31;2026-07-07;"8257";excited apostrophize monthly;"#ffe802";yowza perfumed if;false;false;2026-07-06T20:52:53;2026-07-07T00:44:55;2
6;upliftingly minus;limited ugh yahoo;INVESTMENT;"GUB";16475.36;2026-07-06;"6765";whoa viciously;"#c5FCb3";jubilantly courageous;true;true;2026-07-07T02:05:19;2026-07-07T11:18:31;2
7;sympathetically neatly fairly;entrench as because;DEBIT;"EUP";24254.69;2026-07-07;"0194";as;"#7AdaF8";deflate intently;false;true;2026-07-07T11:19:51;2026-07-07T13:49:31;2
8;geez instead triangular;bah awesome;INVESTMENT;"LQY";9750.08;2026-07-07;"4493";eminent but;"#FfCBfE";knowledgeably meanwhile zowie;true;true;2026-07-07T11:56:05;2026-07-06T20:48:53;2
9;unless;neighboring;DEBIT;"QKH";9281.95;2026-07-06;"8199";vainly grandpa;"#85cf50";finally swathe;true;false;2026-07-07T15:46:51;2026-07-07T16:21:00;1
10;oof singe as;during;CASH;"EAG";15932.32;2026-07-07;"5579";grandson surprisingly aha;"#9DAd57";allocation curry;true;true;2026-07-06T20:26:57;2026-07-07T07:45:25;1
