id;name;description;status;expected_amount;amount_tolerance_percentage;currency;recurrence_unit;interval_count;start_date;next_expected_date;end_date;automatic_payment;notes;created_at;updated_at;user_id
1;ferociously ack;until as usefully;ACTIVE;28361.65;57.84;"TKG";MONTH;22128;2026-07-07;2026-07-06;2026-07-06;true;urban quarrelsome finally;2026-07-06T23:15:15;2026-07-07T17:01:30;1
2;like ecliptic fair;jaggedly wee although;CANCELLED;14743.61;98.13;"DMC";WEEK;2507;2026-07-06;2026-07-07;2026-07-07;false;orchid ick needily;2026-07-07T16:31:13;2026-07-07T08:55:07;2
3;till supposing;since doubtfully tennis;PAUSED;4315.19;4.16;"GAY";YEAR;10320;2026-07-06;2026-07-07;2026-07-07;true;wry um energetically;2026-07-07T13:30:32;2026-07-07T12:28:38;1
4;sashay;unsteady evenly;CANCELLED;7493.87;38.43;"CRI";YEAR;10623;2026-07-07;2026-07-06;2026-07-07;true;animated um sleepily;2026-07-07T09:26:42;2026-07-07T16:39:24;2
5;beep;hence unfreeze innocently;PAUSED;18993.27;17.91;"ZWP";YEAR;28217;2026-07-07;2026-07-07;2026-07-07;false;satirize unusual intermarry;2026-07-07T04:16:39;2026-07-06T21:21:50;1
6;anenst shadowbox content;ashamed posh screw;ACTIVE;15225.43;82.66;"EMU";WEEK;16372;2026-07-07;2026-07-06;2026-07-07;true;elastic;2026-07-06T20:00:43;2026-07-07T12:03:53;2
7;bah;whereas;PAUSED;29053.85;85.24;"LVK";DAY;14758;2026-07-06;2026-07-07;2026-07-06;false;till;2026-07-06T23:37:42;2026-07-06T21:46:46;2
8;poorly throughout;among loudly;CANCELLED;17239.39;42.99;"ZBS";YEAR;28942;2026-07-07;2026-07-06;2026-07-07;true;triumphantly whether pastel;2026-07-06T21:36:32;2026-07-07T15:21:47;1
9;delectable whereas;twine;PAUSED;15841.79;93.74;"ZOQ";MONTH;7628;2026-07-07;2026-07-07;2026-07-07;true;platypus bah fooey;2026-07-07T01:52:07;2026-07-07T08:05:27;2
10;needy adventurously;wherever wherever;PAUSED;3981.31;17.75;"PLB";DAY;2725;2026-07-07;2026-07-07;2026-07-07;true;oh;2026-07-07T01:49:34;2026-07-07T03:56:00;1
