id;transaction_date;posting_date;description;amount;flow;origin;external_reference;notes;created_at;updated_at;account_id
1;2026-07-06;2026-07-06;and furthermore;30964.18;IN;API;colorful;rightfully geez;2026-07-07T03:01:47;2026-07-07T02:52:10;1
2;2026-07-07;2026-07-06;unto pantyhose knowledgeably;9363.17;IN;MANUAL;proofread;since plastic absent;2026-07-07T09:04:47;2026-07-07T11:55:48;2
3;2026-07-07;2026-07-07;aw;20641.07;IN;MANUAL;out oof enchanting;humiliating overload home;2026-07-06T22:46:30;2026-07-07T10:33:14;3
4;2026-07-07;2026-07-07;starch enormously vainly;12924.75;OUT;FILE_IMPORT;ick hateful honestly;intensely concerning;2026-07-07T04:16:28;2026-07-06T19:04:15;4
5;2026-07-07;2026-07-06;hourly;13165.41;OUT;MANUAL;distant;restructure burly;2026-07-07T10:12:36;2026-07-07T13:55:23;5
6;2026-07-07;2026-07-07;cutlet arrogantly uh-huh;31714.14;OUT;MANUAL;wobbly unhealthy ruin;ah yuppify tail;2026-07-06T20:55:14;2026-07-06T20:49:50;6
7;2026-07-07;2026-07-07;sticker overload axe;28335.69;IN;FILE_IMPORT;qua officially;why limply nor;2026-07-06T19:36:08;2026-07-06T18:46:11;7
8;2026-07-06;2026-07-06;ha yuck;17923.9;OUT;MANUAL;gee giving gleaming;drat finally;2026-07-06T18:20:19;2026-07-07T05:10:09;8
9;2026-07-07;2026-07-07;irritably psst;9599.8;IN;FILE_IMPORT;nor;whether selfishly via;2026-07-07T02:13:34;2026-07-07T11:14:09;9
10;2026-07-06;2026-07-07;suitcase yowza;16875.21;OUT;FILE_IMPORT;ambitious a;once near only;2026-07-06T18:33:36;2026-07-07T09:16:39;10
