id;record_index;external_record_id;status;raw_data;error_code;error_message;created_at;transaction_ingestion_id
1;3346;refer explode;SKIPPED_DUPLICATE;../fake-data/blob/hipster.txt;draft yahoo for;amidst blah know;2026-07-06T23:38:46;1
2;32225;smog enchanted;REJECTED;../fake-data/blob/hipster.txt;whether lovingly;degenerate;2026-07-06T22:53:10;2
3;27391;video for;CREATED;../fake-data/blob/hipster.txt;march incidentally off;bend;2026-07-07T03:03:57;3
4;272;curiously aw;CREATED;../fake-data/blob/hipster.txt;readmit jubilantly above;tired;2026-07-07T14:18:12;4
5;26379;gloomy sleepily wearily;CREATED;../fake-data/blob/hipster.txt;bracelet;slushy gleaming;2026-07-07T17:17:00;5
6;6729;phew whoa;REJECTED;../fake-data/blob/hipster.txt;into rival;grave eventually grade;2026-07-07T06:19:05;6
7;20232;fork;SKIPPED_DUPLICATE;../fake-data/blob/hipster.txt;yuck helpfully;far-off;2026-07-07T14:25:48;7
8;8832;lovingly lest;SKIPPED_DUPLICATE;../fake-data/blob/hipster.txt;apparatus and;why bore towards;2026-07-07T09:48:42;8
9;20971;only joyfully inferior;CREATED;../fake-data/blob/hipster.txt;actually controvert;including greatly veto;2026-07-07T01:20:44;9
10;4806;quick-witted;REJECTED;../fake-data/blob/hipster.txt;microchip;boiling;2026-07-07T00:08:05;10
