id;name;description;color;active;created_at;updated_at;user_id
1;optimistically why nor;merrily;"#B5de8A";false;2026-07-07T14:58:44;2026-07-07T01:08:24;1
2;abnormally;scrutinise tenant how;"#56F9b2";true;2026-07-07T12:10:59;2026-07-07T05:18:06;2
3;wherever;towards;"#438784";true;2026-07-07T11:44:37;2026-07-07T00:24:37;2
4;without;baptise whoever below;"#F57E98";true;2026-07-07T06:00:29;2026-07-07T06:48:14;2
5;what;inasmuch whose tarragon;"#6d5658";true;2026-07-07T15:59:51;2026-07-07T01:51:34;2
6;cope;oof which what;"#Cc309d";false;2026-07-06T19:15:46;2026-07-06T19:35:32;1
7;pasta after develop;or worriedly;"#73a68f";false;2026-07-06T19:16:39;2026-07-06T20:02:28;2
8;teriyaki dense;until indeed unless;"#dAfAD3";true;2026-07-07T04:40:37;2026-07-07T07:10:40;2
9;godfather unlike whopping;zany;"#E2Ec6F";true;2026-07-07T01:06:45;2026-07-07T17:37:05;2
10;following;replicate between miserably;"#64B1D6";true;2026-07-07T16:43:07;2026-07-07T12:36:06;2
