id;ingestion_type;status;source_label;started_at;completed_at;records_received;records_created;records_skipped;records_rejected;error_message;created_at
1;API;PROCESSING;ouch apud quit;2026-07-07T14:03:01;2026-07-07T11:03:43;31981;14649;12849;14409;now psst;2026-07-07T12:28:31
2;FILE;COMPLETED;construe kiss finally;2026-07-07T05:40:09;2026-07-07T06:05:15;9084;18859;26371;24148;unique vision;2026-07-07T07:24:45
3;FILE;PENDING;incidentally;2026-07-07T06:56:59;2026-07-07T09:01:50;30647;5920;28671;26169;oxygenate past;2026-07-07T06:57:38
4;API;FAILED;brr;2026-07-06T20:25:18;2026-07-07T15:25:39;23789;24137;12892;20746;strategy immaculate;2026-07-07T10:02:55
5;FILE;PARTIALLY_COMPLETED;as;2026-07-07T13:14:24;2026-07-07T13:41:06;17008;5459;14287;19699;in;2026-07-06T23:10:54
6;API;PARTIALLY_COMPLETED;extension unabashedly;2026-07-07T08:21:23;2026-07-06T23:35:30;15451;32685;26264;9019;beloved;2026-07-07T03:26:59
7;FILE;FAILED;including dull tinted;2026-07-06T22:02:41;2026-07-07T09:43:57;9548;32171;20818;26498;reasonable cheap;2026-07-07T15:59:27
8;API;FAILED;nerve;2026-07-07T07:08:21;2026-07-06T20:03:51;16102;15767;11291;18265;quarrelsome aw blah;2026-07-07T16:00:44
9;FILE;COMPLETED;superior waist;2026-07-07T05:08:55;2026-07-06T23:24:21;4802;28244;25941;29456;gah;2026-07-07T11:52:59
10;API;PARTIALLY_COMPLETED;ha;2026-07-07T15:54:51;2026-07-07T07:05:03;32501;23064;14048;15637;stable chatter without;2026-07-07T00:12:32
