id;name;description;priority;condition_logic;resulting_description;active;created_at;updated_at;user_id
1;adventurously outside gray;chops why arbitrate;22498;ANY;joyously the;true;2026-07-07T13:53:36;2026-07-07T01:55:00;1
2;with reckon;venture once;13626;ANY;woot;false;2026-07-07T13:39:45;2026-07-06T18:32:32;2
3;dismal;off king;117;ANY;pilot;false;2026-07-06T21:16:01;2026-07-07T04:44:29;1
4;husk powerfully;ack blink;18023;ALL;considering;false;2026-07-07T08:36:11;2026-07-06T21:04:23;2
5;or;revitalise ethical;7639;ALL;pepper;false;2026-07-07T02:23:52;2026-07-06T19:18:15;1
6;deserted;aw;32566;ANY;afore rue serpentine;true;2026-07-07T00:27:03;2026-07-07T10:08:46;1
7;with flawless adjourn;kit;2103;ALL;ceramics ugh via;true;2026-07-06T18:02:35;2026-07-07T15:51:11;1
8;vacantly;march daintily ha;19264;ALL;eek dense longingly;false;2026-07-06T21:57:48;2026-07-07T12:48:06;2
9;faithfully as huzzah;unknown;22494;ALL;terribly huzzah;true;2026-07-07T14:37:17;2026-07-07T02:30:44;2
10;alert;selfishly like;20732;ALL;octave;false;2026-07-06T23:03:56;2026-07-07T03:06:37;2
