id;field;operator;value;second_value;case_sensitive;position;transaction_rule_id
1;ACCOUNT;GREATER_THAN_OR_EQUAL;bump;basket charm;false;4681;1
2;ACCOUNT;LESS_THAN;where gee limp;homeschool;true;16066;2
3;DESCRIPTION;AFTER;membership;yahoo triangular scorpion;false;21633;3
4;DESCRIPTION;GREATER_THAN_OR_EQUAL;wholly;supposing developmental;false;16415;4
5;TRANSACTION_DATE;ENDS_WITH;winding obediently comb;weep;false;442;5
6;DESCRIPTION;STARTS_WITH;quickly sore;gee oof;true;23142;6
7;POSTING_DATE;NOT_IN;until convection extract;lest evenly drat;true;717;7
8;ORIGIN;BETWEEN;unless accidentally decryption;plus;true;16343;8
9;ACCOUNT;GREATER_THAN_OR_EQUAL;nor;meh tensely pfft;false;24512;9
10;TRANSACTION_DATE;BEFORE;lovingly amid;instead;true;29045;10
